run_id,score0,score1,score2,score3,score4,score5,score6,score7,score8,score9,universal_score
594,-173.61,-168.90,-166.13,-164.76,-161.34,-158.70,-156.56,-156.33,-155.14,-155.03,-164.73890909090912
519,-221.61,-193.26,-187.90,-172.40,-169.46,-168.63,-166.64,-166.61,-164.11,-160.10,-185.09199999999998
286,-181.34,-156.69,-156.22,-155.00,-152.85,-151.03,-147.76,-144.67,-143.96,-142.93,-157.93672727272724
428,-297.86,-271.07,-247.77,-243.64,-232.00,-217.23,-216.54,-216.04,-212.95,-212.08,-249.75054545454546
621,-251.26,-240.58,-237.45,-216.95,-213.01,-210.14,-209.78,-205.60,-193.92,-192.40,-226.5634545454545
083,-198.92,-181.07,-171.96,-169.47,-169.20,-168.37,-166.39,-165.29,-164.18,-158.69,-176.11509090909095
133,-150.72,-142.99,-138.90,-130.70,-126.81,-126.33,-126.25,-125.52,-125.21,-124.91,-135.8110909090909
344,-193.23,-186.28,-185.90,-171.19,-166.39,-166.30,-163.78,-163.42,-161.59,-160.95,-177.34
403,-209.59,-205.72,-191.93,-186.99,-184.86,-182.33,-178.69,-178.39,-175.32,-175.20,-192.5150909090909
202,-246.62,-230.14,-227.93,-222.78,-222.48,-216.12,-212.90,-211.49,-211.29,-206.65,-226.38436363636362
528,-229.21,-216.00,-215.98,-213.87,-213.68,-210.84,-208.19,-198.22,-194.38,-194.08,-214.68309090909094
030,-140.43,-130.34,-129.63,-127.33,-127.18,-126.95,-126.77,-119.73,-118.38,-117.90,-129.53581818181817
397,-191.21,-186.26,-177.33,-170.38,-166.23,-164.95,-163.75,-160.12,-160.01,-159.74,-175.218
335,-164.87,-163.19,-160.67,-154.78,-151.90,-149.78,-149.12,-148.36,-147.09,-146.79,-156.892
415,-198.91,-198.33,-192.83,-188.95,-186.04,-181.78,-181.68,-180.33,-179.77,-173.47,-190.27672727272727
031,-195.65,-195.45,-185.98,-184.51,-184.41,-178.22,-177.50,-171.17,-170.96,-170.95,-185.98000000000002
741,-216.60,-215.80,-212.24,-203.86,-198.12,-192.23,-190.94,-190.78,-189.49,-188.45,-205.20981818181818
583,-216.02,-210.80,-206.50,-206.49,-205.86,-204.48,-203.38,-202.13,-201.05,-200.64,-207.9098181818182
620,-197.42,-188.30,-181.99,-178.10,-177.90,-176.93,-176.33,-173.99,-173.31,-173.08,-183.1010909090909
709,-206.95,-195.82,-194.91,-189.79,-189.39,-188.73,-182.70,-181.57,-177.06,-176.03,-192.82436363636364
237,-221.46,-180.71,-178.41,-176.33,-174.49,-174.33,-172.35,-171.80,-165.16,-161.93,-183.96763636363636
389,-185.72,-184.24,-182.85,-178.81,-175.25,-173.43,-171.23,-169.66,-167.85,-162.19,-178.91400000000002
204,-209.26,-195.74,-194.09,-190.83,-189.85,-189.68,-189.44,-185.61,-183.67,-182.19,-194.44381818181822
633,-196.63,-195.84,-194.64,-191.67,-190.86,-186.29,-183.96,-181.25,-180.12,-179.82,-191.3441818181818
084,-239.05,-221.85,-210.34,-197.34,-193.79,-185.46,-183.85,-182.70,-182.16,-181.31,-206.73490909090907
239,-152.45,-144.42,-144.18,-143.02,-142.19,-140.76,-140.32,-140.04,-139.00,-138.86,-144.25563636363634
795,-172.11,-132.08,-131.10,-127.89,-123.93,-122.30,-120.52,-120.16,-118.44,-118.23,-134.66545454545454
582,-211.86,-202.45,-198.80,-187.47,-184.82,-183.30,-181.49,-178.53,-172.81,-172.72,-193.61181818181822
087,-192.93,-181.57,-179.02,-178.24,-177.70,-169.07,-167.09,-165.71,-165.54,-164.36,-178.46818181818182
663,-173.91,-166.13,-158.39,-156.77,-155.93,-155.57,-151.48,-148.14,-147.43,-147.41,-160.08763636363636
027,-200.58,-192.37,-191.91,-183.32,-178.75,-176.79,-174.52,-173.78,-171.18,-170.52,-186.2618181818182
